,Edge,Min Odds Away,Min Odds Home,Max Odds Away,Max Odds Home,Profit
392,4.0,-1000.0,-300.0,125.0,200.0,-239.60000000000002
393,4.0,-1000.0,-300.0,125.0,150.0,-76.60000000000002
394,4.0,-1000.0,-300.0,125.0,125.0,29.40000000000009
395,4.0,-1000.0,-300.0,125.0,0.0,27.40000000000009
396,4.0,-1000.0,-300.0,0.0,1000.0,-431.6
397,4.0,-1000.0,-300.0,0.0,600.0,-431.6
398,4.0,-1000.0,-300.0,0.0,500.0,-431.6
399,4.0,-1000.0,-300.0,0.0,400.0,-431.6
400,4.0,-1000.0,-300.0,0.0,300.0,-431.6
401,4.0,-1000.0,-300.0,0.0,200.0,-253.60000000000002
402,4.0,-1000.0,-300.0,0.0,150.0,-90.60000000000002
403,4.0,-1000.0,-300.0,0.0,125.0,15.399999999999977
404,4.0,-1000.0,-300.0,0.0,0.0,13.399999999999977
405,4.0,-1000.0,-200.0,1000.0,1000.0,-597.6
406,4.0,-1000.0,-200.0,1000.0,600.0,-597.6
407,4.0,-1000.0,-200.0,1000.0,500.0,-597.6
408,4.0,-1000.0,-200.0,1000.0,400.0,-597.6
409,4.0,-1000.0,-200.0,1000.0,300.0,-597.6
410,4.0,-1000.0,-200.0,1000.0,200.0,-419.6
411,4.0,-1000.0,-200.0,1000.0,150.0,-256.6
412,4.0,-1000.0,-200.0,1000.0,125.0,-150.60000000000002
413,4.0,-1000.0,-200.0,1000.0,0.0,-152.60000000000002
414,4.0,-1000.0,-200.0,600.0,1000.0,-597.6
415,4.0,-1000.0,-200.0,600.0,600.0,-597.6
416,4.0,-1000.0,-200.0,600.0,500.0,-597.6
417,4.0,-1000.0,-200.0,600.0,400.0,-597.6
418,4.0,-1000.0,-200.0,600.0,300.0,-597.6
419,4.0,-1000.0,-200.0,600.0,200.0,-419.6
420,4.0,-1000.0,-200.0,600.0,150.0,-256.6
421,4.0,-1000.0,-200.0,600.0,125.0,-150.60000000000002
422,4.0,-1000.0,-200.0,600.0,0.0,-152.60000000000002
423,4.0,-1000.0,-200.0,500.0,1000.0,-597.6
424,4.0,-1000.0,-200.0,500.0,600.0,-597.6
425,4.0,-1000.0,-200.0,500.0,500.0,-597.6
426,4.0,-1000.0,-200.0,500.0,400.0,-597.6
427,4.0,-1000.0,-200.0,500.0,300.0,-597.6
428,4.0,-1000.0,-200.0,500.0,200.0,-419.6
429,4.0,-1000.0,-200.0,500.0,150.0,-256.6
430,4.0,-1000.0,-200.0,500.0,125.0,-150.60000000000002
431,4.0,-1000.0,-200.0,500.0,0.0,-152.60000000000002
432,4.0,-1000.0,-200.0,400.0,1000.0,-597.6
433,4.0,-1000.0,-200.0,400.0,600.0,-597.6
434,4.0,-1000.0,-200.0,400.0,500.0,-597.6
435,4.0,-1000.0,-200.0,400.0,400.0,-597.6
436,4.0,-1000.0,-200.0,400.0,300.0,-597.6
