,Edge,Min Odds Away,Min Odds Home,Max Odds Away,Max Odds Home,Profit,Percentage
168,4.0,-1000.0,-500.0,1000.0,150.0,-94.79999999999995,0.36
169,4.0,-1000.0,-500.0,1000.0,125.0,7.2000000000000455,0.36
170,4.0,-1000.0,-500.0,1000.0,0.0,64.20000000000005,0.36
171,4.0,-1000.0,-500.0,600.0,1000.0,-716.8,0.33
172,4.0,-1000.0,-500.0,600.0,600.0,-716.8,0.33
173,4.0,-1000.0,-500.0,600.0,500.0,-716.8,0.33
174,4.0,-1000.0,-500.0,600.0,400.0,-716.8,0.33
175,4.0,-1000.0,-500.0,600.0,300.0,-760.8,0.33
176,4.0,-1000.0,-500.0,600.0,200.0,-727.8,0.34
177,4.0,-1000.0,-500.0,600.0,150.0,-355.79999999999995,0.35
178,4.0,-1000.0,-500.0,600.0,125.0,-253.79999999999995,0.35
179,4.0,-1000.0,-500.0,600.0,0.0,-196.79999999999995,0.35
180,4.0,-1000.0,-500.0,500.0,1000.0,-716.8,0.33
181,4.0,-1000.0,-500.0,500.0,600.0,-716.8,0.33
182,4.0,-1000.0,-500.0,500.0,500.0,-716.8,0.33
183,4.0,-1000.0,-500.0,500.0,400.0,-716.8,0.33
184,4.0,-1000.0,-500.0,500.0,300.0,-760.8,0.33
185,4.0,-1000.0,-500.0,500.0,200.0,-727.8,0.34
186,4.0,-1000.0,-500.0,500.0,150.0,-355.79999999999995,0.35
187,4.0,-1000.0,-500.0,500.0,125.0,-253.79999999999995,0.35
188,4.0,-1000.0,-500.0,500.0,0.0,-196.79999999999995,0.35
189,4.0,-1000.0,-500.0,400.0,1000.0,-812.8,0.33
190,4.0,-1000.0,-500.0,400.0,600.0,-812.8,0.33
191,4.0,-1000.0,-500.0,400.0,500.0,-812.8,0.33
192,4.0,-1000.0,-500.0,400.0,400.0,-812.8,0.33
193,4.0,-1000.0,-500.0,400.0,300.0,-856.8,0.33
194,4.0,-1000.0,-500.0,400.0,200.0,-823.8,0.34
195,4.0,-1000.0,-500.0,400.0,150.0,-451.79999999999995,0.35
196,4.0,-1000.0,-500.0,400.0,125.0,-349.79999999999995,0.35
197,4.0,-1000.0,-500.0,400.0,0.0,-292.79999999999995,0.35
198,4.0,-1000.0,-500.0,300.0,1000.0,-762.8,0.34
199,4.0,-1000.0,-500.0,300.0,600.0,-762.8,0.34
200,4.0,-1000.0,-500.0,300.0,500.0,-762.8,0.34
201,4.0,-1000.0,-500.0,300.0,400.0,-762.8,0.34
202,4.0,-1000.0,-500.0,300.0,300.0,-806.8,0.34
203,4.0,-1000.0,-500.0,300.0,200.0,-773.8,0.34
204,4.0,-1000.0,-500.0,300.0,150.0,-401.79999999999995,0.36
205,4.0,-1000.0,-500.0,300.0,125.0,-299.79999999999995,0.36
206,4.0,-1000.0,-500.0,300.0,0.0,-242.79999999999995,0.36
207,4.0,-1000.0,-500.0,200.0,1000.0,-658.8,0.36
208,4.0,-1000.0,-500.0,200.0,600.0,-658.8,0.36
209,4.0,-1000.0,-500.0,200.0,500.0,-658.8,0.36
210,4.0,-1000.0,-500.0,200.0,400.0,-658.8,0.36
211,4.0,-1000.0,-500.0,200.0,300.0,-702.8,0.36
212,4.0,-1000.0,-500.0,200.0,200.0,-669.8,0.37
213,4.0,-1000.0,-500.0,200.0,150.0,-297.79999999999995,0.4
214,4.0,-1000.0,-500.0,200.0,125.0,-195.79999999999995,0.41
215,4.0,-1000.0,-500.0,200.0,0.0,-138.79999999999995,0.41
216,4.0,-1000.0,-500.0,150.0,1000.0,-338.79999999999995,0.38
217,4.0,-1000.0,-500.0,150.0,600.0,-338.79999999999995,0.38
218,4.0,-1000.0,-500.0,150.0,500.0,-338.79999999999995,0.38
219,4.0,-1000.0,-500.0,150.0,400.0,-338.79999999999995,0.38
220,4.0,-1000.0,-500.0,150.0,300.0,-382.79999999999995,0.38
221,4.0,-1000.0,-500.0,150.0,200.0,-349.79999999999995,0.4
222,4.0,-1000.0,-500.0,150.0,150.0,22.200000000000045,0.46
223,4.0,-1000.0,-500.0,150.0,125.0,124.20000000000005,0.49
224,4.0,-1000.0,-500.0,150.0,0.0,181.20000000000005,0.5
225,4.0,-1000.0,-500.0,125.0,1000.0,-578.8,0.34
226,4.0,-1000.0,-500.0,125.0,600.0,-578.8,0.34
227,4.0,-1000.0,-500.0,125.0,500.0,-578.8,0.34
228,4.0,-1000.0,-500.0,125.0,400.0,-578.8,0.34
229,4.0,-1000.0,-500.0,125.0,300.0,-622.8,0.34
230,4.0,-1000.0,-500.0,125.0,200.0,-589.8,0.35
231,4.0,-1000.0,-500.0,125.0,150.0,-217.79999999999995,0.42
